UNet | patch_size: 512 | pos_weight: 8.0

train 1/6:  33%|███▎      | 286/875 [02:01<04:11,  2.34it/s]
train 1/6:  33%|███▎      | 287/875 [02:01<04:10,  2.34it/s]
train 1/6:  33%|███▎      | 288/875 [02:01<04:10,  2.35it/s]
train 1/6:  33%|███▎      | 289/875 [02:02<04:09,  2.35it/s]
train 1/6:  33%|███▎      | 290/875 [02:02<04:09,  2.35it/s]
train 1/6:  33%|███▎      | 291/875 [02:03<04:08,  2.35it/s]
train 1/6:  33%|███▎      | 292/875 [02:03<04:08,  2.34it/s]
train 1/6:  33%|███▎      | 293/875 [02:04<04:08,  2.35it/s]
train 1/6:  34%|███▎      | 294/875 [02:04<04:07,  2.35it/s]
train 1/6:  34%|███▎      | 295/875 [02:04<04:07,  2.34it/s]
train 1/6:  34%|███▍      | 296/875 [02:05<04:06,  2.35it/s]
train 1/6:  34%|███▍      | 297/875 [02:05<04:06,  2.34it/s]
train 1/6:  34%|███▍      | 298/875 [02:06<04:05,  2.35it/s]
train 1/6:  34%|███▍      | 299/875 [02:06<04:05,  2.34it/s]
train 1/6:  34%|███▍      | 300/875 [02:07<04:05,  2.34it/s]
train 1/6:  34%|███▍      | 301/875 [02:07<04:04,  2.34it/s]
train 1/6:  35%|███▍      | 302/875 [02:07<04:04,  2.34it/s]
train 1/6:  35%|███▍      | 303/875 [02:08<04:03,  2.35it/s]
train 1/6:  35%|███▍      | 304/875 [02:08<04:03,  2.34it/s]
train 1/6:  35%|███▍      | 305/875 [02:09<04:03,  2.34it/s]
train 1/6:  35%|███▍      | 306/875 [02:09<04:02,  2.34it/s]
train 1/6:  35%|███▌      | 307/875 [02:10<04:02,  2.34it/s]
train 1/6:  35%|███▌      | 308/875 [02:10<04:01,  2.34it/s]
train 1/6:  35%|███▌      | 309/875 [02:10<04:01,  2.34it/s]
train 1/6:  35%|███▌      | 310/875 [02:11<04:01,  2.34it/s]
train 1/6:  36%|███▌      | 311/875 [02:11<04:00,  2.34it/s]
train 1/6:  36%|███▌      | 312/875 [02:12<04:00,  2.34it/s]
train 1/6:  36%|███▌      | 313/875 [02:12<03:59,  2.34it/s]
train 1/6:  36%|███▌      | 314/875 [02:13<03:59,  2.34it/s]
train 1/6:  36%|███▌      | 315/875 [02:13<03:59,  2.34it/s]
train 1/6:  36%|███▌      | 316/875 [02:13<03:58,  2.34it/s]
train 1/6:  36%|███▌      | 317/875 [02:14<03:58,  2.34it/s]
train 1/6:  36%|███▋      | 318/875 [02:14<03:57,  2.34it/s]
train 1/6:  36%|███▋      | 319/875 [02:15<03:57,  2.34it/s]
train 1/6:  37%|███▋      | 320/875 [02:15<03:56,  2.34it/s]
train 1/6:  37%|███▋      | 321/875 [02:16<03:56,  2.34it/s]
train 1/6:  37%|███▋      | 322/875 [02:16<03:56,  2.34it/s]
train 1/6:  37%|███▋      | 323/875 [02:16<03:55,  2.34it/s]
train 1/6:  37%|███▋      | 324/875 [02:17<03:55,  2.34it/s]
train 1/6:  37%|███▋      | 325/875 [02:17<03:54,  2.34it/s]
train 1/6:  37%|███▋      | 326/875 [02:18<03:54,  2.34it/s]
train 1/6:  37%|███▋      | 327/875 [02:18<03:53,  2.34it/s]
train 1/6:  37%|███▋      | 328/875 [02:19<03:53,  2.34it/s]
train 1/6:  38%|███▊      | 329/875 [02:19<03:53,  2.34it/s]
train 1/6:  38%|███▊      | 330/875 [02:19<03:52,  2.34it/s]
train 1/6:  38%|███▊      | 331/875 [02:20<03:52,  2.34it/s]
train 1/6:  38%|███▊      | 332/875 [02:20<03:51,  2.34it/s]
train 1/6:  38%|███▊      | 333/875 [02:21<03:51,  2.34it/s]
train 1/6:  38%|███▊      | 334/875 [02:21<03:51,  2.34it/s]
train 1/6:  38%|███▊      | 335/875 [02:22<03:50,  2.34it/s]
train 1/6:  38%|███▊      | 336/875 [02:22<03:50,  2.34it/s]
train 1/6:  39%|███▊      | 337/875 [02:22<03:49,  2.34it/s]
train 1/6:  39%|███▊      | 338/875 [02:23<03:49,  2.34it/s]
train 1/6:  39%|███▊      | 339/875 [02:23<03:49,  2.34it/s]
train 1/6:  39%|███▉      | 340/875 [02:24<03:48,  2.34it/s]
train 1/6:  39%|███▉      | 341/875 [02:24<03:48,  2.34it/s]
train 1/6:  39%|███▉      | 342/875 [02:24<03:47,  2.34it/s]
train 1/6:  39%|███▉      | 343/875 [02:25<03:47,  2.34it/s]
train 1/6:  39%|███▉      | 344/875 [02:25<03:46,  2.34it/s]
train 1/6:  39%|███▉      | 345/875 [02:26<03:46,  2.34it/s]
train 1/6:  40%|███▉      | 346/875 [02:26<03:45,  2.34it/s]
train 1/6:  40%|███▉      | 347/875 [02:27<03:45,  2.34it/s]
train 1/6:  40%|███▉      | 348/875 [02:27<03:44,  2.34it/s]
train 1/6:  40%|███▉      | 349/875 [02:27<03:44,  2.34it/s]
train 1/6:  40%|████      | 350/875 [02:28<03:44,  2.34it/s]
train 1/6:  40%|████      | 351/875 [02:28<03:43,  2.34it/s]
train 1/6:  40%|████      | 352/875 [02:29<03:43,  2.34it/s]
train 1/6:  40%|████      | 353/875 [02:29<03:42,  2.34it/s]
train 1/6:  40%|████      | 354/875 [02:30<03:42,  2.34it/s]
train 1/6:  41%|████      | 355/875 [02:30<03:42,  2.34it/s]
train 1/6:  41%|████      | 356/875 [02:30<03:41,  2.34it/s]
train 1/6:  41%|████      | 357/875 [02:31<03:41,  2.34it/s]
train 1/6:  41%|████      | 358/875 [02:31<03:40,  2.34it/s]
train 1/6:  41%|████      | 359/875 [02:32<03:40,  2.34it/s]
train 1/6:  41%|████      | 360/875 [02:32<03:39,  2.34it/s]
train 1/6:  41%|████▏     | 361/875 [02:33<03:39,  2.34it/s]
train 1/6:  41%|████▏     | 362/875 [02:33<03:39,  2.34it/s]
train 1/6:  41%|████▏     | 363/875 [02:33<03:38,  2.34it/s]
train 1/6:  42%|████▏     | 364/875 [02:34<03:38,  2.34it/s]
train 1/6:  42%|████▏     | 365/875 [02:34<03:37,  2.34it/s]
train 1/6:  42%|████▏     | 366/875 [02:35<03:37,  2.34it/s]
train 1/6:  42%|████▏     | 367/875 [02:35<03:36,  2.34it/s]
train 1/6:  42%|████▏     | 368/875 [02:36<03:36,  2.34it/s]
